af_track_id,af_danceability,af_energy,af_loudness,af_mode,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_key,af_speechiness,af_time_signature,af_duration_ms
0GfS3y8Jd7SHWd9R51s7Fo,0.746,0.557,-6.722,1,0.103,0.0036,0.138,0.324,111.961,1,0.0542,4,159404
2v3DuCVBbopteJqdM7aKQK,0.467,0.821,-5.466,1,0.00791,0.000441,0.131,0.232,122.676,7,0.0934,4,185366
4QAUGy6k7c3IOAhgWz52r7,0.572,0.934,-5.053,0,0.00292,0.0198,0.105,0.204,125.948,6,0.0446,4,215238
3Ciaf6WgvG95TGRGxQ1yO8,0.708,0.913,-4.329,0,0.089,0.081,0.113,0.707,135.016,9,0.0348,4,170667
1mC2UjWt25Oixtqu7C6suL,0.684,0.818,-4.477,0,0.0469,3.39e-06,0.119,0.336,123.938,4,0.128,4,210968
2wenGTypSYHXl1sN1pNC7X,0.732,0.85,-5.999,1,0.114,2.02e-06,0.0388,0.372,124.024,1,0.0444,4,193548
4sqABRRGU7CzcHXCyxUzFw,0.62,0.889,-3.785,1,0.0163,1.85e-05,0.395,0.422,110.015,11,0.0353,4,205093
5dy3WUywjZcalTno1io8TQ,0.675,0.76,-7.037,1,0.104,0.0,0.33,0.468,124.933,11,0.0434,4,172800
2M9GeaCQXrV12J0wzBxIwi,0.682,0.851,-7.117,0,0.0146,0.000834,0.0289,0.348,126.0,1,0.0363,4,192381
1zzOMDmkRZy0g9f4JTAZKn,0.663,0.905,-3.781,0,0.0325,0.0,0.333,0.397,125.996,1,0.0511,4,175000
4OFFY6L5ywYM1TwhXX69wQ,0.625,0.938,-3.983,1,0.00432,0.00026,0.0923,0.371,127.997,6,0.0517,4,166875
1hr5Y2i4NlE3LPvQZ9Q5Ao,0.679,0.909,-2.929,1,0.0334,0.0,0.269,0.819,119.885,1,0.105,4,155080
1aT7vltGhkjyMI3F3aO3A4,0.641,0.869,-4.754,1,0.0319,0.00131,0.403,0.358,128.091,11,0.0423,4,178125
4YaU1EjXIkdRdkOI4cCZys,0.702,0.814,-7.51,0,0.107,3.03e-05,0.374,0.503,121.993,0,0.0841,4,172000
0Fc9QSMX6fgEBgDjUax7t7,0.723,0.837,-6.487,1,0.0103,0.000477,0.0834,0.643,123.952,11,0.0389,4,177097
7AasLZ4TYgh7dbJXZxcZVE,0.742,0.864,-5.06,1,0.00141,0.00467,0.241,0.727,125.032,0,0.0976,4,169935
7p4jpmyBnOpqQ3rSGJzZ7w,0.716,0.815,-4.121,1,0.108,0.0,0.163,0.351,124.975,10,0.0533,4,220413
4sLtguRBis05qfsBgJ1IdN,0.748,0.831,-5.029,1,0.0823,7.36e-05,0.0757,0.894,128.024,1,0.115,4,185273
508lUjbGcPrL0CfvHC7UvI,0.816,0.833,-5.972,1,0.126,9.09e-06,0.0625,0.793,122.032,5,0.0511,4,170164
7FDaS1k08rwMoAThmzUkOZ,0.633,0.854,-4.046,0,0.0382,2.83e-05,0.434,0.659,126.026,0,0.0432,4,172360
6m8SIT10j41SPpPFOknTmP,0.562,0.811,-2.92,1,0.00522,0.0,0.11,0.493,129.971,2,0.0524,4,247385
5Vwgf4MVO0vLv8fbxaGGiW,0.728,0.815,-2.878,0,0.00223,0.000317,0.101,0.681,124.019,11,0.046,4,218015
5scxjvcdozadBoRRN0UMaM,0.846,0.773,-3.503,1,0.0141,2.23e-05,0.204,0.586,124.008,5,0.0473,4,200444
6oJ6le65B3SEqPwMRNXWjY,0.693,0.678,-7.159,1,0.0151,5.71e-06,0.101,0.404,103.952,8,0.0324,4,228267
2tilX6FUl0IwFgiOYjuc6V,0.678,0.928,-3.66,0,0.0303,3.33e-05,0.143,0.663,116.892,3,0.0597,4,150160
3yNZ5r3LKfdmjoS3gkhUCT,0.67,0.453,-11.265,1,0.252,0.33,0.117,0.68,135.055,0,0.295,4,194840
478QYNLw6dhTTx4oEkhBeq,0.755,0.931,-4.104,0,0.132,0.0271,0.0854,0.288,122.041,1,0.0606,4,177466
3C4fzUgIP3ahkhOBdP38GM,0.622,0.859,-7.626,1,0.000609,0.746,0.0909,0.442,121.968,5,0.0636,4,218373
2k4c9ZAlIYHyXiJ4i20FO7,0.789,0.893,-4.364,0,0.0538,0.0,0.221,0.41,121.956,10,0.168,4,144073
79zGYOcAe2VmJsyQiJX31a,0.64,0.838,-4.203,1,0.0588,1.99e-05,0.0424,0.587,124.081,6,0.0416,4,193861
6B2NRQjtSOtqi67d72r5cx,0.609,0.764,-4.564,0,0.0994,0.0,0.197,0.531,128.082,5,0.111,4,200625
08rBIlTMXlF5uEHobZglxv,0.64,0.992,-3.318,0,0.0832,0.0083,0.109,0.479,123.951,4,0.0585,4,166237
1BmdqDrBU5eohtRwHBls6C,0.75,0.81,-4.607,0,0.0917,1.59e-05,0.111,0.48,120.038,0,0.0572,4,171500
5rxKInBVj0QE87KenyDiLf,0.535,0.956,-2.996,0,0.000609,0.0109,0.262,0.12,127.984,1,0.0343,4,266719
3kgKVcBpBGuSeaEC0AZGlb,0.766,0.771,-9.108,1,0.00407,3.76e-06,0.113,0.297,140.036,6,0.0576,4,204027
5qCrT9lVmIGxqB8i6bb83P,0.649,0.821,-4.952,0,0.017,0.000347,0.0655,0.394,125.977,10,0.0472,4,203968
3Lv3frZVXU7Q0JEFvLIzWW,0.588,0.697,-4.744,0,0.186,0.000219,0.103,0.225,125.157,3,0.0372,4,190417
2bZYJvVRN5EqIvAUFhUNls,0.355,0.789,-4.358,0,0.0148,0.0,0.0355,0.169,80.444,5,0.165,4,237686
3utdq3dPLVD4r7Vv9BnCAI,0.542,0.84,-5.283,0,0.0336,8.45e-05,0.277,0.509,118.02,0,0.0419,4,180361
1ppOGANOzMT01Cxh9jx4hN,0.735,0.5,-11.297,1,0.415,3.12e-05,0.13,0.119,126.1,8,0.0511,4,139048
5Shjuje8PRcX7ueEVajrLH,0.752,0.84,-4.451,0,0.00486,0.0109,0.0916,0.461,124.002,6,0.0373,4,279800
6wKJjrWWP4qpzYbE8oQkc4,0.748,0.903,-5.877,0,0.0324,0.0,0.106,0.751,115.018,3,0.0385,4,217043
6EDH26ppl7R8oV4tGilCkS,0.607,0.955,-3.613,0,0.0163,0.121,0.0725,0.501,125.984,7,0.102,4,230476
4RaN7556EogBfF80klMEX2,0.607,0.995,-2.325,0,0.0921,0.002,0.0445,0.664,124.998,9,0.0487,4,188640
1nwoWaqzB30bD4IPqRNuex,0.679,0.786,-6.918,0,0.119,5.89e-06,0.224,0.47,126.092,1,0.132,4,196613
4fDBElPGDqZQ3rJorZTm2w,0.714,0.801,-5.8,0,0.0204,0.00615,0.334,0.292,124.015,5,0.0301,4,210000
6AZ21kPj2a0INgf3uCviVu,0.69,0.862,-4.154,1,0.0611,1.85e-05,0.238,0.453,121.975,2,0.0944,4,187869
3uXHSf9sSIpOJWuC1H8DiU,0.775,0.867,-7.388,0,0.0158,0.0117,0.0355,0.565,128.956,4,0.204,4,273229
4Q9iBGT9b9CVTtDwsgQWnl,0.814,0.838,-5.547,1,0.001,0.0223,0.0185,0.959,121.978,11,0.0763,4,255861
6LCsZ8ARrIq0n9nr6gM2ru,0.784,0.779,-5.48,1,0.0357,0.025,0.0245,0.459,124.994,8,0.0387,4,216714
27F9FlipD657qYRQT3qxFm,0.367,0.783,-4.504,1,0.00515,0.0,0.0545,0.289,88.013,6,0.154,4,192653
6B9cqNooxIyPfr3P5EB8LA,0.609,0.83,-3.759,0,0.201,6.18e-05,0.0321,0.604,117.833,6,0.0793,4,238451
05CwHjIk71RXVU40boRMnR,0.591,0.702,-5.59,1,0.225,0.0,0.414,0.501,104.003,7,0.0289,4,217653
0qc4QlcCxVTGyShurEv1UU,0.59,0.642,-3.87,1,0.0771,0.0,0.105,0.651,107.356,7,0.122,4,174444
5icOoE6VgqFKohjWWNp0Ac,0.791,0.565,-3.933,0,0.0623,0.0,0.156,0.181,99.961,5,0.0439,4,156347
6GIRtKNXokeu25nn7U6Hu8,0.564,0.747,-3.374,1,0.0728,0.0,0.151,0.717,97.878,5,0.0584,4,165767
4PkIDTPGedm0enzdvilLNd,0.669,0.801,-5.445,1,0.268,0.0,0.0594,0.541,109.919,8,0.136,4,201072
5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,-4.792,1,0.194,0.0,0.316,0.385,99.991,8,0.0602,4,223523
4Gcv5SsxnQWpmOnUI19EJk,0.513,0.788,-4.629,1,0.00968,0.0,0.11,0.234,139.987,0,0.0364,4,238459
5YkmS18BehACOhIIeUqe6l,0.72,0.864,-3.249,1,0.0856,0.0,0.16,0.659,96.048,0,0.208,4,191612
3vQhEd4lOg4mAV6CHCgoHW,0.789,0.858,-4.388,1,0.22,4.58e-05,0.335,0.491,110.012,5,0.0404,4,173455
6wo37KVqFJhtuxPTpLCcfe,0.294,0.505,-8.106,1,0.12,0.0,0.0977,0.357,85.332,3,0.042,1,209893
3OTSBoYKO7HzGVj8Bu2OH9,0.665,0.799,-2.868,0,0.18,0.0,0.125,0.5,101.976,6,0.0617,4,228112
4NSW0Km5ZG60L8FthUebPJ,0.46,0.8,-3.584,1,0.289,6.16e-06,0.121,0.553,102.46,1,0.05,4,220396
1xK7enJZVdv37fnnxoZlPq,0.362,0.921,-3.815,0,0.123,0.0,0.19,0.529,172.191,1,0.486,3,180840
1z1XegUChLLQfcbtIK8ABn,0.686,0.83,-4.437,1,0.0948,1.33e-06,0.182,0.486,123.032,8,0.0369,4,214634
6aoGtdWXBkYQ2O2wnyIz2x,0.618,0.66,-8.14,0,0.0292,2.07e-06,0.325,0.408,105.0,11,0.0372,4,210944
5tAa8Uaqr4VvA3693mbIhU,0.665,0.699,-5.265,1,0.423,0.0,0.0969,0.585,124.896,11,0.0578,4,190932
18W92Zm1KjLCbUIszOhpkD,0.661,0.725,-4.859,1,0.0253,0.0,0.123,0.605,119.927,6,0.0563,4,197939
3D37T7euWvVJ45evRmriIh,0.571,0.752,-4.872,1,0.0196,6.92e-05,0.114,0.25,102.043,3,0.0293,4,192941
3y3brCCecHC3Db18aIOnny,0.591,0.705,-6.519,0,0.381,0.000116,0.131,0.27,121.799,9,0.079,4,215316
6XqvFyJGdUD5IWee02ARKU,0.652,0.898,-4.481,0,0.29,0.0,0.073,0.472,114.043,7,0.0361,4,193377
575NJxNUVDqwJGdzBrlLbv,0.706,0.855,-5.378,1,0.0898,0.0,0.347,0.299,107.184,10,0.221,4,201253
70YPzqSEwJvAIQ6nMs1cjY,0.404,0.806,-4.75,1,0.198,0.0,0.114,0.112,148.036,2,0.0496,4,220730
7Ht0v0LWBCOEjmNQ0iMpNr,0.876,0.856,-3.884,1,0.0812,1.29e-06,0.457,0.685,121.991,4,0.0486,4,185062
6nDKrPlXdpomGBgAlO7UdP,0.802,0.645,-6.181,0,0.272,0.0,0.119,0.376,100.001,5,0.0715,4,157202
2b1BwUGGyKq0CoJd8G1B6M,0.906,0.832,-3.004,0,0.0909,0.0,0.152,0.751,104.03,5,0.0718,4,159753
09IStsImFySgyp0pIQdqAc,0.753,0.657,-3.061,1,0.171,0.0,0.112,0.437,107.01,7,0.0449,4,184732
1lGVyEkGHUz7Pg78QGaS4a,0.693,0.674,-4.449,1,0.185,0.0,0.0639,0.378,95.972,5,0.0723,4,160998
6ksMjdec8b6C45TUawkAdu,0.672,0.815,-6.476,0,0.00246,0.0,0.577,0.341,115.033,1,0.0981,4,226093
1vsQb8n0icvMsFnL9663LM,0.581,0.76,-3.962,1,0.16,0.0,0.183,0.523,104.099,0,0.0406,4,205787
6pooRNiLyYpxZeIA5kJ5EX,0.643,0.594,-5.453,1,0.0128,0.0,0.118,0.442,144.033,2,0.0318,4,216668
5WHTFyqSii0lmT9R21abT8,0.674,0.881,-2.853,1,0.296,3.01e-06,0.0793,0.234,98.994,9,0.147,4,178480
1pBO9JDqh1y3TbCKEO1OvG,0.691,0.538,-9.952,1,0.246,0.163,0.178,0.329,99.972,0,0.103,4,182668
1LjxmkW3xRQP2HzswhYyyc,0.661,0.758,-5.299,1,0.0797,0.0,0.106,0.387,114.098,7,0.0864,4,224061
7FCZhkhzEUVNUAlGauNKIe,0.653,0.69,-5.003,1,0.109,0.0,0.136,0.652,110.214,1,0.0756,4,178501
2JoIjuzRplpYGvvLpSW2on,0.735,0.691,-6.475,1,0.0876,0.0,0.34,0.548,110.018,0,0.0362,4,154024
4PUWpNtDejQwwa80LjvxXl,0.663,0.696,-5.994,1,0.0563,6.25e-06,0.226,0.449,139.98,11,0.0349,4,197880
1nufXiTCTTAeJfO9hLHvO8,0.55,0.899,-3.284,0,0.0113,9.65e-05,0.137,0.408,125.85,5,0.0458,4,170079
1NDxZ7cFAo481dtYWdrUnR,0.703,0.868,-4.661,0,0.15,0.132,0.104,0.733,121.03,7,0.0291,4,193613
1ahVFh0ViDZr8LvkEVlq3B,0.44,0.635,-6.385,1,0.129,0.0,0.121,0.327,128.133,11,0.0326,4,207095
0Ev562zA4pmUsBqjxsxxdx,0.625,0.707,-4.761,1,0.22,0.0,0.213,0.479,138.064,2,0.0337,4,248156
5l8AUgBTWuOECwVgYtaUyE,0.625,0.719,-5.541,1,0.048,0.0,0.0668,0.326,101.091,4,0.0612,4,202072
35MKhw2YBKApmD7fAnPERC,0.547,0.795,-3.721,1,0.145,0.0,0.11,0.723,118.118,8,0.0489,4,186805
3Kuu5vASpXK8oRsxOvau6P,0.673,0.596,-7.891,1,0.166,0.0,0.11,0.19,123.969,10,0.0354,4,208567
7KW3XQV5Or5CF57MYVj5h4,0.699,0.633,-6.547,1,0.0453,0.0,0.101,0.458,123.449,6,0.0362,4,184533
3M9Apu4OZfylLTFKvgEtKa,0.647,0.726,-4.389,0,0.157,0.0,0.0844,0.767,114.996,3,0.0552,4,198996
5N4erncE7kuUccm7zEmwzk,0.588,0.67,-6.439,1,0.0104,3.33e-06,0.338,0.505,118.159,0,0.0473,4,238173
6QcrReLyoun4xrPVsZ5OJE,0.655,0.427,-11.684,0,0.295,0.00108,0.0788,0.224,107.992,2,0.0799,4,215446
1kQhi22kyluRCnIPAXtxEZ,0.79,0.865,-4.159,1,0.0264,0.0892,0.24,0.362,122.99,6,0.0438,4,189165
5cE201rNvIkryS8N1dJ5nR,0.611,0.737,-5.154,0,0.0145,0.0,0.107,0.574,124.169,0,0.0476,4,200318
4AkCyd9Nlbt8JprQq9V6o2,0.726,0.763,-6.872,1,0.524,2.64e-06,0.0943,0.516,128.02,4,0.0882,4,160312
48GmVZwvkoVC5StfMLfNJE,0.713,0.705,-6.478,1,0.292,0.000359,0.126,0.47,114.994,10,0.0999,4,219521
01iyINEYgPQ7ThMZuHUsqS,0.619,0.938,-5.245,1,0.0257,1.39e-05,0.128,0.601,94.38,5,0.35,4,207428
6BwClo5W3VvTzJv8bvZXDD,0.575,0.808,-4.578,1,0.0446,0.0,0.0693,0.232,127.922,1,0.0439,4,179531
108r6pnZHStBIktpyyps9w,0.768,0.808,-1.818,1,0.00627,5.33e-06,0.343,0.664,119.971,5,0.112,4,166000
24Hzd4FPhz0HPx9jhM9cap,0.767,0.605,-5.737,0,0.559,0.000363,0.193,0.657,107.042,6,0.188,4,203200
4aTtHoSBB0CuQGA6vXBNyp,0.466,0.612,-4.855,0,0.0655,4.07e-06,0.132,0.236,128.114,8,0.0307,4,239067
0gIZLyF3MWQVcspzrLWYod,0.434,0.917,-3.613,0,0.301,1.8e-05,0.289,0.622,121.967,9,0.0633,4,147554
6y1UtRcHQU07aUs3oxZ8Yn,0.744,0.79,-4.617,0,0.0547,0.000802,0.32,0.847,125.002,8,0.0562,4,188640
54z0kLF0skj0Hdb9wCqPJt,0.837,0.818,-4.474,0,0.0527,0.00642,0.11,0.484,109.993,8,0.0533,4,157159
6mPstbtzhyqKmwefY4eVWD,0.514,0.856,-4.285,1,0.00123,6.34e-06,0.544,0.351,117.014,2,0.0717,4,228502
6uBhi9gBXWjanegOb2Phh0,0.69,0.622,-5.025,0,0.253,0.0,0.116,0.544,102.04,5,0.0622,4,210091
1Pe3Tnahd3nNcKrTvNvNvW,0.465,0.869,-4.275,1,0.0142,0.00241,0.115,0.185,126.114,3,0.0531,4,187150
4w8niZpiMy6qz1mntFA5uM,0.842,0.801,-4.167,0,0.157,4.82e-06,0.0642,0.617,95.881,8,0.228,4,212500
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,-5.599,1,0.414,0.0,0.111,0.661,95.01,8,0.0338,4,244960
2IDHoSlbG0CKH9rhq68wTb,0.647,0.624,-8.446,1,0.025,0.056,0.0616,0.477,115.002,9,0.0451,4,243091
60wwxj6Dd9NJlirf84wr2c,0.509,0.781,-3.48,1,0.0398,0.0,0.0749,0.176,128.0,8,0.072,4,271427
6kPJZM97LwdG9QIsT7khp6,0.737,0.636,-4.546,0,0.0441,6.66e-05,0.35,0.565,105.005,11,0.0437,4,222653
3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,-7.786,0,0.0895,0.0,0.261,0.195,137.972,1,0.0576,4,220883
7iNIg7XDEaYECfWD5dJ9Va,0.743,0.735,-5.337,1,0.00389,0.0,0.304,0.631,104.979,8,0.0382,4,189467
6cy3ki60hLwimwIje7tALf,0.721,0.716,-7.037,0,0.0334,0.00084,0.237,0.667,104.994,10,0.0657,4,221714
5N5k9nd479b1xpDZ4usjrg,0.781,0.768,-5.991,1,0.0119,4.91e-06,0.325,0.486,123.07,11,0.0394,4,213309
0qaWEvPkts34WF68r8Dzx9,0.737,0.828,-4.711,1,0.0149,0.000588,0.0862,0.517,124.051,11,0.0396,4,208474
6jq6rcOikCZAmjliAgAmfT,0.57,0.763,-4.137,1,0.0857,2.49e-06,0.0932,0.43,150.088,1,0.0573,4,239853
762UXiwEHYY97VL45sAUPR,0.551,0.651,-5.828,0,0.225,0.0,0.224,0.562,144.875,8,0.0594,4,194907
6RUKPb4LETWmmr3iAEQktW,0.617,0.635,-6.769,0,0.0498,1.44e-05,0.164,0.446,103.019,11,0.0317,4,247160
7ef4DlsgrMEH11cDZd32M6,0.791,0.862,-3.24,0,0.037,2.19e-05,0.0814,0.592,123.994,9,0.11,4,214847
3zU9rdflI65tK4dkkNSp77,0.503,0.748,-4.124,1,0.0305,0.0,0.343,0.356,125.896,5,0.0619,4,210013
12GEpg2XOPyqk03JZEZnJs,0.64,0.533,-6.596,1,0.119,0.0,0.0864,0.515,99.968,0,0.0706,4,220781
4kte3OcW800TPvOVgrLLj8,0.657,0.676,-6.633,1,0.245,0.0,0.368,0.246,124.904,5,0.0393,4,251627
0lYBSQXN6rCTvUZvg9S0lU,0.475,0.715,-5.371,1,0.0863,2.67e-05,0.135,0.159,199.892,8,0.058,4,205947
3vv9phIu6Y1vX3jcqaGz5Z,0.713,0.802,-7.055,1,0.0435,0.00377,0.309,0.343,100.001,4,0.0561,4,226739
2QtJA4gbwe1AcanB2p21aP,0.596,0.738,-3.109,1,0.109,0.0,0.0947,0.461,127.961,8,0.0411,4,217347
1BltsyC5W3SAABdxyrDXwi,0.503,0.727,-5.456,1,0.0159,9.45e-05,0.0895,0.521,121.985,1,0.167,4,255632
3tTYxjYYcXFqFXA0AZ1Fav,0.609,0.726,-4.346,0,0.0723,8.45e-06,0.0895,0.362,93.958,5,0.0414,4,195000
09CtPGIpYB4BrO8qb1RGsF,0.655,0.76,-3.669,0,0.0797,0.0,0.299,0.409,99.947,0,0.045,4,200787
0azC730Exh71aQlOt9Zj3y,0.631,0.927,-2.787,0,0.199,0.119,0.148,0.465,123.962,9,0.0332,4,222160
4h8VwCb1MTGoLKueQ1WgbD,0.532,0.783,-5.697,1,0.0038,0.0012,0.161,0.643,124.08,2,0.0523,4,247427
0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,-5.335,1,0.176,1.1e-05,0.118,0.163,125.905,6,0.149,4,184560
0lHAMNU8RGiIObScrsRgmP,0.604,0.788,-3.673,0,0.0678,0.153,0.127,0.301,126.06,0,0.103,4,245040
0n8ob8S72lvznoVfiwz4qL,0.432,0.741,-5.057,1,0.0342,6.42e-06,0.139,0.192,139.421,7,0.0619,4,242520
4r6eNCsrZnQWJzzvFh4nlg,0.638,0.831,-5.039,1,0.142,0.0,0.113,0.649,124.071,8,0.049,4,227893
0GzmMQizDeA2NVMUaZksv0,0.759,0.716,-6.36,0,0.0223,0.0,0.231,0.469,105.009,11,0.0818,4,209733
1MlAkYV0nbRKWhhfvTt3zc,0.614,0.832,-3.419,0,0.11,0.0,0.185,0.429,129.038,11,0.0522,4,213169
1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,-5.721,1,0.0106,0.0,0.0968,0.7,113.035,0,0.0682,4,237547
7C7yqFTM0ncyJ04GIKrxdV,0.702,0.781,-4.081,1,0.433,0.0,0.135,0.382,102.997,0,0.03,4,286322
0WfKDYeUAoLA3vdvLKKWMW,0.851,0.806,-4.618,1,0.12,1.33e-06,0.121,0.776,119.001,4,0.0786,4,237200
22mek4IiqubGD9ctzxc69s,0.738,0.868,-4.373,0,0.0392,0.00169,0.388,0.336,122.003,11,0.0731,4,212640
61ZM92T2zaXIVsqncThQzC,0.57,0.672,-5.888,0,0.172,1.04e-06,0.0768,0.461,120.018,8,0.0716,4,208222
6TnxdnJcZIwCWiCHq5Qds0,0.67,0.89,-3.785,0,0.122,0.0,0.333,0.568,124.967,5,0.0576,4,206440
2aFAmDBycyEnj3lcS95JMe,0.708,0.727,-7.647,1,0.0201,0.676,0.37,0.512,120.012,9,0.0389,4,231480
0Npijoc6ZcUe1devUugKvI,0.654,0.787,-4.999,1,0.00515,0.0,0.144,0.409,123.978,4,0.0502,4,164490
5gwLIRjGFf3hXuHoKEsWLg,0.945,0.584,-7.649,0,0.0955,0.341,0.147,0.626,124.996,6,0.044,4,168547
3d4lc8esnUl7Bx9J9d9oty,0.704,0.929,-4.447,1,0.0395,0.0249,0.181,0.633,126.055,0,0.0395,4,155238
0U6bQIAh6MCGo1xjbIIx2S,0.752,0.906,-2.097,0,0.125,0.0,0.423,0.95,95.997,8,0.102,4,184558
3oIVK7arAFuUOCGafPLxSC,0.682,0.855,-3.282,1,0.0564,0.0,0.101,0.304,124.005,7,0.0401,4,198743
2I4jAMEOEUQD5V1byYCqNS,0.627,0.662,-7.104,0,0.0922,0.000166,0.143,0.596,124.039,7,0.0349,4,159194
59QmL8ygKtVfMHmPx3GaBX,0.762,0.736,-7.66,1,0.135,0.0538,0.113,0.248,126.007,7,0.0778,4,165714
5EdYlCWou17k0N1PADLKfO,0.577,0.844,-3.364,1,0.004,6.59e-06,0.499,0.283,115.068,7,0.0406,4,183653
5MvsfUN0H79C24t3fPepeL,0.632,0.816,-4.584,1,0.00205,0.106,0.119,0.134,127.95,8,0.0349,4,202500
7CHi4DtfK4heMlQaudCuHK,0.598,0.527,-8.659,0,0.129,0.0,0.14,0.53,123.943,10,0.0415,4,168387
1CW7tYkpJ95c7bQkRf6CcK,0.825,0.841,-6.433,1,0.0906,0.00411,0.258,0.616,126.026,0,0.135,4,184582
4bSFPMXKYaCoBhzJv276zl,0.63,0.731,-4.985,1,0.0191,7.82e-06,0.704,0.46,119.997,6,0.0352,4,240000
5AFrctm65wWIqJsjHPPx85,0.795,0.899,-4.202,1,0.00235,0.000392,0.199,0.329,125.978,0,0.0685,4,198839
3DsjHcLYMExprXJECT4QQP,0.529,0.717,-7.049,0,0.123,0.000707,0.0363,0.481,103.99,6,0.24,4,257943
7FjZU7XFs7P9jHI9Z0yRhK,0.7,0.872,-5.896,1,0.121,7.08e-06,0.103,0.761,125.03,10,0.0666,4,190302
5ijpy4l0nKZPIKHui6SQfE,0.791,0.541,-7.14,1,0.123,4.74e-05,0.121,0.433,115.986,1,0.054,4,154654
6j8eH9frh703HaGBaSRS6u,0.904,0.633,-5.545,1,0.203,0.000266,0.163,0.492,121.995,0,0.0958,4,179016
79Vz5MNH7Qe4F7hPKT8tPz,0.744,0.725,-6.055,1,0.018,9.29e-06,0.212,0.904,118.034,11,0.0303,4,167859
65mOk4n0tfrMysFXu12ufx,0.772,0.687,-6.348,0,0.0528,0.0,0.834,0.59,118.116,9,0.211,4,154286
4w5Grfxx5Rpup6mo5v6bW0,0.706,0.524,-8.804,1,0.127,0.00129,0.109,0.296,111.991,6,0.026,4,183183
3uiQZlSlSDRduWLFBTSEot,0.664,0.699,-7.115,0,0.0352,0.0,0.0612,0.252,122.019,11,0.27,4,216256
29ikXeGM6kScvhvqfvgiwO,0.781,0.745,-4.942,0,0.0814,9.71e-05,0.106,0.498,110.051,1,0.0374,4,158091
2Eld7kejX6FH9OptVyKQak,0.789,0.547,-8.738,0,0.072,9.21e-05,0.0782,0.48,120.024,9,0.0748,4,203227
3BOcWxFUURAomDXRSDFve4,0.566,0.808,-4.578,1,0.0446,0.0,0.0693,0.23,127.933,1,0.0437,4,179531
4YhN72dRYL2Z3MsaKyT7rS,0.669,0.797,-5.68,0,0.259,0.0,0.199,0.552,119.865,9,0.0624,4,185943
7DQ5CZjAQdhgDgdnSXxJ7Z,0.567,0.946,-2.245,0,0.0978,1.37e-06,0.0836,0.295,104.983,5,0.0541,4,208367
